Senator,Handle,Gender,State,Political_Party,Date_Entered_Office,Birthdate
Jeff Sessions,,M,Alabama,Republican,1/3/1997,12/24/1946
Luther Strange,,M,Alabama,Republican,2/9/2017,3/1/1953
Doug Jones,SenDougJones,M,Alabama,Democrat,1/3/2018,5/4/1954
Jeanne Shaheen,SenatorShaheen,F,New Hampshire,Democrat,1/3/2009,1/28/1947
John McCain,,M,Arizona,Republican,1/3/1987,8/29/1936
Tom Cotton,SenTomCotton,M,Arkansas,Republican,1/3/2015,5/13/1977
Kristen Gillibrand,SenGillibrand,F,New York,Democrat,1/26/2009,12/9/1966
Chris Murphy,ChrisMurphyCT,M,Connecticut,Democrat,1/3/2013,8/3/1973
Bob Casey Jr.,SenBobCasey,M,Pennsylvania,Democrat,1/3/2007,4/13/1960
Mazi Hirono,maziehirono,F,Hawaii,Democrat,1/3/2013,11/3/1947
Time Kaine,timkaine,M,Virginia,Democrat,1/3/2013,2/26/1958
Shelley Moor Capito,SenCapito,F,West Virginia,Republican,1/3/2015,11/26/1953
Al Franken,,M,Minnesota,Democrat,7/7/2009,5/21/1951
Thad Cochran,,M,Mississippi,Republican,12/27/1978,12/7/1937
Clair McCaskill,clairecmc,F,Missouri,Democrat,1/3/2007,7/24/1953
Steve Daines,SteveDaines,M,Montana,Republican,1/3/2015,8/20/1962
Sheldon Whitehouse,SenWhitehouse,M,Rhode Island,Democrat,1/3/2007,10/20/1955
Elizabeth Warren,SenWarren,F,Massachusetts,Democrat,1/3/2013,6/22/1949
Pat Toomey,SenToomey,M,Pennsylvania,Republican,1/3/2011,11/17/1961
Todd Young,SenToddYoung,M,Indiana,Republican,1/3/2017,8/24/1972
Tina Smith,SenTinaSmith,F,Minnesota,Democrat,1/3/2018,3/4/1958
Thom Tillis,SenThomTillis,M,North Carolina,Republican,1/3/2015,8/30/1960
Ted Cruz,SenTedCruz,M,Texas,Republican,1/3/2013,12/22/1970
Debbie Stabenow,SenStabenow,F,Michigan,Democrat,1/3/2001,4/29/1950
Sherrod Brown,SenSherrodBrown,M,Ohio,Democrat,1/3/2007,11/9/1952
Richard Shelby,SenShelby,M,Alabama,Republican,1/3/1987,5/6/1934
Chuck Schumer,SenSchumer,M,New York,Democrat,1/3/1999,11/23/1950
Ron Johnson,SenRonJohnson,M,Wisonsin,Republican,1/3/2011,4/8/1955
Rob Portman,SenRobPortman,M,Ohio,Republican,1/3/2011,12/19/1955
Pat Roberts,SenPatRoberts,M,Kansas,Republican,1/3/1997,4/20/1936
Orrin Hatch,SenOrrinHatch,M,Utah,Republican,1/3/1977,3/22/1934
Mike Lee,SenMikeLee,M,Utah,Republican,1/3/2011,6/4/1971
Ed Markey,senmarkey,M,Massachusetts,Democrat,7/16/2013,7/11/1946
Kamala Harris,SenKamalaHarris,F,California,Democrat,1/3/2017,10/20/1964
Jon Kyl,SenJonKyl,M,Arizona,Republican,9/5/2018,4/25/1942
John Thune,SenJohnThune,M,South Dakota,Republican,1/3/2005,1/7/1961
John Kennedy,SenJohnKennedy,M,Louisiana,Republican,1/3/2017,11/21/1951
John Hoeven,SenJohnHoeven,M,North Dakota,Republican,1/3/2011,3/13/1957
John Barrasso,SenJohnBarrasso,M,Wyoming,Republican,6/25/2007,7/21/1952
Jeff Merkley,SenJeffMerkley,M,Oregon,Democrat,1/3/2009,10/24/1956
Jack Reed,SenJackReed,M,Rhode Island,Democrat,1/3/1997,11/12/1949
Cindy Hyde-Smith,SenHydeSmith,F,Mississippi,Republican,1/2/2018,5/10/1959
Gary Peters,SenGaryPeters,M,Michigan,Democrat,1/3/2015,12/1/1958
Dianne Feinstein,SenFeinstein,F,California,Democrat,11/4/1992,6/22/1933
Tammy Duckworth,SenDuckworth,F,Illinois,Democrat,1/3/2017,3/12/1968
Joe Donnelly,SenDonnelly,M,Indiana,Democrat,1/3/2013,9/29/1955
Dean Heller,SenDeanHeller,M,Nevada,Republican,5/9/2011,5/10/1960
David Perdue,SenDavidPerdue,M,Georgia,Republican,1/3/2015,12/10/1949
Dan Sullivan,SenDanSullivan,M,Alaska,Republican,1/3/2015,11/13/1964
Cory Gardner,SenCoryGardner,M,Colorado,Republican,1/3/2015,8/22/1974
Catherine Cortez Masto,SenCortezMasto,F,Nevada,Democrat,1/3/2019,3/29/1964
Richard Blumenthal,SenBlumenthal,M,Connecticut,Democrat,1/3/2011,2/13/1946
Bill Nelson,SenBillNelson,M,Florida,Democrat,1/3/2001,9/29/1942
Roger Wicker,SenatorWicker,M,Mississippi,Republican,12/31/2007,7/5/1951
Tom Udall,SenatorTomUdall,M,New Mexico,Democrat,1/3/2009,5/18/1948
Tim Scott,SenatorTimScott,M,South Carolina,Republican,1/2/2013,9/19/1965
Jon Tester,SenatorTester,M,Montana,Democrat,1/3/2007,8/21/1956
Bernie Sanders,SenatorSanders,M,Vermont,Independent,1/3/2007,9/8/1941
Mike Rounds,SenatorRounds,M,South Dakota,Republican,1/3/2015,10/24/1954
Jim Risch,SenatorRisch,M,Idaho,Republican,1/3/2009,5/3/1943
Bob Menendez,SenatorMenendez,M,New Jersey,Democrat,1/17/2006,1/1/1954
Patrick Leahy,SenatorLeahy,M,Vermont,Democrat,1/3/1975,3/31/1940
James Lankford,SenatorLankford,M,Oklahoma,Republican,1/3/2015,3/4/1968
Johnny Isakson,SenatorIsakson,M,Georgia,Republican,1/3/2005,12/28/1944
Heidi Heitkamp,SenatorHeitkamp,F,North Dakota,Democrat,1/3/2013,10/30/1955
Maggie Hassan,SenatorHassan,F,New Hampshire,Democrat,1/3/2017,2/28/1958
Deb Fischer,SenatorFischer,F,Nebraska,Republican,1/3/2013,3/1/1951
Mike Enzi,SenatorEnzi,M,Wyoming,Republican,1/3/1997,2/1/1944
Dick Durbin,SenatorDurbin,M,Illinois,Democrat,1/3/2015,11/21/1944
Susan Collins,SenatorCollins,F,Maine,Republican,1/3/1997,12/7/1952
Tom Carper,SenatorCarper,M,Delaware,Democrat,1/3/2001,1/23/1947
Ben Cardin,SenatorCardin,M,Maryland,Democrat,1/3/2007,10/5/1943
Maria Cantwell,SenatorCantwell,F,Washington,Democrat,1/3/2001,10/13/1958
Richard Burr,SenatorBurr,M,North Carolina,Republican,1/3/2005,11/30/1955
Michael Bennet,SenatorBennet,M,Colorado,Democrat,1/21/2009,11/28/1964
Tammy Baldwin,SenatorBaldwin,F,Wisonsin,Democrat,1/3/2013,2/11/1962
Mitch McConnell,SenateMajLdr,M,Kentucky,Republican,1/3/1985,2/20/1942
Angus King,SenAngusKing,M,Maine,Independent,1/3/2013,3/31/1944
Lamar Alexander,SenAlexander,M,Tennessee,Republican,1/3/2003,7/3/1940
Joe Manchin,Sen_JoeManchin,M,West Virginia,Democrat,11/15/2010,8/24/1947
Roy Blunt,RoyBlunt,M,Missouri,Republican,1/3/2011,1/10/1950
Ron Wyden,RonWyden,M,Oregon,Democrat,2/5/1996,5/3/1949
Rand Paul,RandPaul,M,Kentucky,Republican,1/3/2011,1/7/1963
Patty Murray,PattyMurray,F,Washington,Democrat,1/3/1993,10/11/1950
Mike Crapo,MikeCrapo,M,Idaho,Republican,1/3/1999,5/20/1951
Martin Heinrich,MartinHeinrich,M,New Mexico,Democrat,1/3/2013,10/17/1971
Mark Warner,MarkWarner,M,Virginia,Democrat,1/3/2009,12/15/1954
Marco Rubio,marcorubio,M,Florida,Republican,1/3/2011,5/28/1971
Lisa Murkowski,lisamurkowski,F,Alaska,Republican,12/20/2002,5/22/1957
Joni Ernst,joniernst,F,Iowa,Republican,1/3/2015,7/1/1970
John Cornyn,JohnCornyn,M,Texas,Republican,12/2/2002,2/2/1952
John Boozman,JohnBoozman,M,Arkansas,Republican,1/3/2011,12/10/1950
Jim Inhofe,jiminhofe,M,Oklahoma,Republican,11/16/1994,11/17/1934
Jerry Moran,JerryMoran,M,Kansas,Republican,1/3/2011,5/29/1954
Jeff Flake,JeffFlake,M,Arizona,Republican,1/3/2013,12/31/1962
Lindsey Graham,GrahamBlog,M,South Carolina,Republican,1/3/2003,7/9/1955
Cory Booker,CoryBooker,M,New Jersey,Democrat,10/31/2013,4/27/1969
Chuck Grassley,ChuckGrassley,M,Iowa,Republican,1/3/1981,9/17/1933
Chris Van Hollen,ChrisVanHollen,M,Maryland,Democrat,1/3/2017,1/10/1959
Chris Coons,ChrisCoons,M,Delaware,Democrat,11/15/2010,9/9/1963
Brian Schatz,brianschatz,M,Hawaii,Democrat,12/26/2012,10/20/1972
Bob Corker,BobCorker,M,Tennessee,Republican,1/3/2007,8/24/1952
Bill Cassidy,BillCassidy,M,Louisiana,Republican,1/3/2015,9/28/1957
Ben Sasse,BenSasse,M,Nebraska,Republican,1/3/2015,2/22/1972
Amy Klobuchar,amyklobuchar,F,Minnesota,Democrat,1/3/2007,5/25/1960
